_id,UN_VOL_AV,ID_EDIF,area,proprieta,Classifica,LONG_X_4326_CENTROID,LAT_Y_4326_CENTROID,Location
141,9.72,E00000000836,1060.87,Dato non in possesso,Insediamenti residenziali,9.225951580739695,45.49885471508387,"(45.49885471508387, 9.225951580739695)"
142,14.415,E00000001270,69.3685,Dato non in possesso,Insediamenti residenziali,9.241932713474347,45.50334082343936,"(45.50334082343936, 9.241932713474347)"
143,7.395,E00000001324,62.9274,Dato non in possesso,"Insediamenti industriali, artigianali, commerciali",9.240946149306028,45.503504491966645,"(45.503504491966645, 9.240946149306028)"
144,3.975,E00000001658,66.5208,Dato non in possesso,Insediamenti residenziali,9.237830288953303,45.505825670368495,"(45.505825670368495, 9.237830288953303)"
145,15.48,E00000000835,231.309,Dato non in possesso,Insediamenti residenziali,9.225353985600064,45.498728662526986,"(45.498728662526986, 9.225353985600064)"
146,3.585,E00000000518,495.42,Dato non in possesso,Insediamenti residenziali,9.221795424150574,45.49661636532952,"(45.49661636532952, 9.221795424150574)"
147,6.855,E00000001324,30.5935,Dato non in possesso,"Insediamenti industriali, artigianali, commerciali",9.24102527107432,45.50345323197236,"(45.50345323197236, 9.24102527107432)"
148,4.46,E00000001562,147.067,Dato non in possesso,"Insediamenti industriali, artigianali, commerciali",9.244057537761655,45.50526864036394,"(45.50526864036394, 9.244057537761655)"
149,8.805,E00000001525,22.6631,Dato non in possesso,Insediamenti residenziali,9.241111278313793,45.50488305414685,"(45.50488305414685, 9.241111278313793)"
150,24.465,E00000001486,161.74,Dato non in possesso,Insediamenti residenziali,9.24128188389092,45.5042295702308,"(45.5042295702308, 9.24128188389092)"
151,7.86,E00000000626,349.416,Dato non in possesso,Insediamenti residenziali,9.228287553824945,45.50945430946278,"(45.50945430946278, 9.228287553824945)"
152,4.46,E00000001414,126.828,Dato non in possesso,Insediamenti residenziali,9.243142264931395,45.50417797734283,"(45.50417797734283, 9.243142264931395)"
153,8.58,E00000000834,761.157,Dato non in possesso,Insediamenti residenziali,9.225402296583686,45.499330255955385,"(45.499330255955385, 9.225402296583686)"
154,9.225,E00000001006,231.24,Dato non in possesso,Insediamenti residenziali,9.224146870728108,45.50126109743967,"(45.50126109743967, 9.224146870728108)"
